"","Molecule.ChEMBL.ID","Molecule.Name","Molecule.Max.Phase","Molecular.Weight","X.RO5.Violations","AlogP","Compound.Key","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Data.Validity.Comment","Comment","Uo.Units","Ligand.Efficiency.BEI","Ligand.Efficiency.LE","Ligand.Efficiency.LLE","Ligand.Efficiency.SEI","Potential.Duplicate","Assay.ChEMBL.ID","Assay.Description","Assay.Type","BAO.Format.ID","BAO.Label","Assay.Organism","Assay.Tissue.ChEMBL.ID","Assay.Tissue.Name","Assay.Cell.Type","Assay.Subcellular.Fraction","Assay.Parameters","Assay.Variant.Accession","Assay.Variant.Mutation","Target.ChEMBL.ID","Target.Name","Target.Organism","Target.Type","Document.ChEMBL.ID","Source.ID","Source.Description","Document.Journal","Document.Year","Cell.ChEMBL.ID","Properties"
"14","CHEMBL3775726","",0,464.61,"1","5.44","55","CCOC(=O)c1c(C)n(Cc2ccc(OC)cc2)c2ccc(OCCCN3CCCCC3)cc12","Inhibition","'='",77.7,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL3777946","Inhibition of NorA efflux pump in Staphylococcus aureus 1199B assessed as reduction in EtBr efflux at 50 uM incubated for 20 mins measured for 5 mins by real-time fluorometric analysis","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL3774342",1,"Scientific Literature","J. Med. Chem.",2016,"None",NA
"15","CHEMBL3948087","",0,504.6,"2","5.88","16","CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCCCNCc3ccc(F)c(OC)c3)cc12","Inhibition","'='",67,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL3879153","Inhibition of Staphylococcus aureus 1199B NorA assessed as inhibition of ethidium bromide efflux at 50 uM measured after 5 mins by fluorometric method relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL3877305",1,"Scientific Literature","J Med Chem",2017,"None",NA
"17","CHEMBL2385677","",0,400.95,"1","5.02","3e","CCCOc1ccc(-c2cc(OCC(C)N(C)C)c3ccccc3n2)cc1.Cl","Inhibition","",NA,"",NA,NA,"Not Active","",NA,NA,NA,NA,"False","CHEMBL2390107","Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as reduction of ciprofloxacin MIC at 0.78 to 100 ug/mL","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2384986",1,"Scientific Literature","J. Med. Chem.",2013,"None",NA
"22","CHEMBL2158996","",0,338.36,"0","3.61","7","C=CCOc1ccccc1C(=O)/C=C/c1ccc(OCC(=O)O)cc1","Inhibition","",NA,"",NA,NA,"Dose-dependent effect","",NA,NA,NA,NA,"False","CHEMBL2162039","Inhibition of norA in Staphylococcus aureus ATCC 29213 overexpressing norA assessed as fold reduction in ciprofloxacin MIC by checkerboard assay","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"24","CHEMBL2158997","",0,313.37,"0","3.66","8","CN(C)CCOc1ccc(C(=O)/C=C/c2ccccc2F)cc1","Inhibition","'='",48.5,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL2162041","Inhibition of norA-mediated ethidium bromide efflux in methicillin-resistant Staphylococcus aureus SA-1199B at 5 ug/ml by spectrofluorometric analysis","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"25","CHEMBL358518","",0,284.31,"0","3.31","5","COc1cc(O)cc(C)c1/C=C/C(=O)c1ccc(O)cc1","Inhibition","",NA,"",NA,NA,"Dose-dependent effect","",NA,NA,NA,NA,"False","CHEMBL2162038","Inhibition of norA in Staphylococcus aureus SA-1199B overexpressing norA assessed as fold reduction in ciprofloxacin MIC by checkerboard assay","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"26","CHEMBL3920269","",0,524.63,"1","4.71","15","CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCCCNCc3nnnn3-c3ccccc3)cc12","Inhibition","'='",22.8,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL3879153","Inhibition of Staphylococcus aureus 1199B NorA assessed as inhibition of ethidium bromide efflux at 50 uM measured after 5 mins by fluorometric method relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL3877305",1,"Scientific Literature","J Med Chem",2017,"None",NA
"27","CHEMBL3775416","",0,456.59,"1","5.73","6a","CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCCCNCc3ccccc3)cc12","Inhibition","'='",45.5,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL3879153","Inhibition of Staphylococcus aureus 1199B NorA assessed as inhibition of ethidium bromide efflux at 50 uM measured after 5 mins by fluorometric method relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL3877305",1,"Scientific Literature","J Med Chem",2017,"None",NA
"29","CHEMBL3938230","",0,587.74,"2","6.17","11","CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCCCN3CCN(CCCOc4ccc(F)cc4)CC3)cc12","Inhibition","'='",53.7,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL3879153","Inhibition of Staphylococcus aureus 1199B NorA assessed as inhibition of ethidium bromide efflux at 50 uM measured after 5 mins by fluorometric method relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL3877305",1,"Scientific Literature","J Med Chem",2017,"None",NA
"31","CHEMBL1651014","",0,428.44,"1","5.55","49","N#Cc1c(C(F)(F)F)cc(Cc2ccccc2)nc1SCc1ccc(C(=O)O)cc1","Inhibition","'='",41.8,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"33","CHEMBL4164750","",0,491.68,"1","5.89","11d","CCCOc1ccc(-c2cc(OCCN3CCCCC3)c3cc(OCCCN(C)C)ccc3n2)cc1","Inhibition","'='",92.5,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL4155967","Inhibition of Staphylococcus aureus SA-1199B NorA assessed as reduction in EtBr efflux at 50 uM measured over 5 mins by fluorescence assay relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL4152305",1,"Scientific Literature","Eur J Med Chem",2018,"None",NA
"34","CHEMBL458207","",0,502.5,"2","5.05","14","CC1COc2c(NCc3ccc(NC(=O)Nc4ccccc4)cc3)c(F)cc3c(=O)c(C(=O)O)cn1c23","Inhibition","'='",96.4,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1017715","Inhibition of NorA efflux pump in Staphylococcus aureus K2361 assessed as reduction of ethidium bromide efflux at 10 uM for 5 mins","B","BAO_0000019","assay format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1154468",1,"Scientific Literature","Eur. J. Med. Chem.",2008,"None",NA
"35","CHEMBL4177330","",0,510.63,"2","6.77","7","CCCOc1ccc(-c2cc(OCCN3CCCCC3)c3cc(OC(=O)c4ccccc4)ccc3n2)cc1","Inhibition","'='",76.3,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL4155967","Inhibition of Staphylococcus aureus SA-1199B NorA assessed as reduction in EtBr efflux at 50 uM measured over 5 mins by fluorescence assay relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL4152305",1,"Scientific Literature","Eur J Med Chem",2018,"None",NA
"36","CHEMBL480166","",0,315.39,"0","3.94","71","COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC","Inhibition","'='",23.6,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"37","CHEMBL1630217","",0,622.08,"2","6.74","SS14-M","COc1ccc2c(Cc3cccc(-c4cc5cc([N+](=O)[O-])ccc5[nH]4)c3)c3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]","Inhibition","",NA,"",NA,NA,"Active","",NA,NA,NA,NA,"False","CHEMBL1638737","Inhibition of NorA in Staphylococcus aureus K2378 overexpressing NorA assessed as increase in ethidium bromide uptake at 3 uM by fluorescence assay in presence of INF55","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1629702",1,"Scientific Literature","Antimicrob. Agents Chemother.",2010,"None",NA
"38","CHEMBL1651175","",0,353.42,"0","4.01","23f","CCCOc1ccc(-c2cc(=O)c3cc(OC)c(OC)cc3n2C)cc1","Inhibition","'='",0,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1817147","Inhibition of NorA in Staphylococcus aureus 1199B assessed as inhibition of ethidium bromide efflux at 50 uM by fluorimetry","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1811797",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"39","CHEMBL1651178","",0,283.28,"0","2.32","26c","Cn1c(-c2ccc(O)cc2)cc(=O)c2cc(O)c(O)cc21","Inhibition","'='",0,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1817147","Inhibition of NorA in Staphylococcus aureus 1199B assessed as inhibition of ethidium bromide efflux at 50 uM by fluorimetry","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1811797",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"40","CHEMBL1651162","",0,378.52,"0","4.80","24f","CCCOc1ccc(-c2cc(=O)c3ccccc3n2CCN(CC)CC)cc1","Inhibition","'='",57.3,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1817147","Inhibition of NorA in Staphylococcus aureus 1199B assessed as inhibition of ethidium bromide efflux at 50 uM by fluorimetry","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1811797",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"41","CHEMBL1651163","",0,390.53,"0","4.94","25f","CCCOc1ccc(-c2cc(=O)c3ccccc3n2CCN2CCCCC2)cc1","Inhibition","'='",75.1,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1817147","Inhibition of NorA in Staphylococcus aureus 1199B assessed as inhibition of ethidium bromide efflux at 50 uM by fluorimetry","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1811797",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"42","CHEMBL3741903","",0,560.7,"1","4.97","C18","CCCCC(=O)NC1(CC(=O)NNc2ccccc2)CCN(C(=O)/C=C/C(=C/c2ccc3c(c2)OCO3)CC)CC1","Inhibition","",NA,"",NA,NA,"Dose-dependent effect","",NA,NA,NA,NA,"False","CHEMBL4480154","Inhibition of NorA efflux pump overexpressed in Staphylococcus aureus 1199B assessed as reduction in EtBr efflux measured over 30 mins by fluorescence analysis","B","BAO_0000019","assay format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL4477264",1,"Scientific Literature","Bioorg Med Chem Lett",2016,"None",NA
"45","CHEMBL144721","",0,298.34,"0","3.61","15","COc1ccc(/C=C/C(=O)c2ccccc2OC)c(OC)c1","Inhibition","",NA,"",NA,NA,"Active","",NA,NA,NA,NA,"False","CHEMBL2162181","Inhibition of Staphylococcus aureus SA-1199B NorA expressed in Escherichia coli DH10B assessed as inhibition of Hoechst 33342 dye efflux at 2 ug/ml after 150 to 160 secs by spectrofluorometric analysis in presence of 50 uM Mg2+","B","BAO_0000019","assay format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"46","CHEMBL1651185","",0,468.58,"0","3.77","102","CCOC(=O)c1cn(C2CC2)c2cc(N3CCC4=C(C3)/C(=N/O)C(C)CS4)c(N)cc2c1=O","Inhibition","'='",91.2,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"47","CHEMBL1651174","",0,311.34,"0","2.93","89","COc1cc2c(=O)cc(-c3ccc(O)cc3)n(C)c2cc1OC","Inhibition","'='",0,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"48","CHEMBL1651001","",0,461.52,"0","4.59","31, specs codeAM-807/42946590","N#Cc1c(-c2ccc(F)cc2)cc(-c2ccccc2)nc1SCC(=O)N1CCC[C@@H]1C(=O)O","Inhibition","'='",36.3,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"49","CHEMBL1651009","",0,353.4,"0","3.93","44","Cc1ccc(S(=O)(=O)Nc2ccc3[nH]c(-c4ccco4)nc3c2)cc1","Inhibition","'='",67.5,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"50","CHEMBL1651010","",0,333.43,"0","4.09","45","OC(CNCc1cccc(OCc2ccccc2)c1)c1ccccc1","Inhibition","'='",92.4,"%",NA,NA,"","UO_0000187",NA,NA,NA,NA,"False","CHEMBL1657423","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM by fluorimetry after 5 mins","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL1649083",1,"Scientific Literature","J. Med. Chem.",2011,"None",NA
"51","CHEMBL6966","VERAPAMIL",4,454.61,"1","5.09","Verapamil","COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC","Inhibition","",NA,"",NA,NA,"Dose-dependent effect","",NA,NA,NA,NA,"False","CHEMBL2162198","Inhibition of Staphylococcus aureus SA-1199B NorA expressed in Escherichia coli DH10B assessed as inhibition of Hoechst 33342 dye efflux by spectrofluorometric analysis in presence of 50 uM Mg2+","B","BAO_0000019","assay format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"52","CHEMBL1642586","",0,724.67,"3","4.72","NP","C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1","Inhibition","",NA,"",NA,NA,"Dose-dependent effect","",NA,NA,NA,NA,"False","CHEMBL2162198","Inhibition of Staphylococcus aureus SA-1199B NorA expressed in Escherichia coli DH10B assessed as inhibition of Hoechst 33342 dye efflux by spectrofluorometric analysis in presence of 50 uM Mg2+","B","BAO_0000019","assay format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL2157969",1,"Scientific Literature","Bioorg. Med. Chem.",2012,"None",NA
"53","CHEMBL4455615","",0,387.91,"0","4.52","10","COC(=O)CC1(NC(=O)/C=C/C2=C(Cl)c3ccccc3CC2)CCCCC1","Inhibition","",NA,"",NA,NA,"Not Determined","",NA,NA,NA,NA,"False","CHEMBL4311538","Inhibition of NorA in Staphylococcus aureus 1199B assessed as reduction in ethidium bromide efflux at 50 uM measured after 5 mins by fluorescence assay relative to control","B","BAO_0000357","single protein format","Staphylococcus aureus","None","None","None","None",NA,NA,NA,"CHEMBL5114","Quinolone resistance protein norA","Staphylococcus aureus","SINGLE PROTEIN","CHEMBL4308903",1,"Scientific Literature","Bioorg Med Chem",2019,"None",NA
